mal_id,mean_score_reco,max_score_reco,min_score_reco,mean_members_reco,max_members_reco,min_members_reco
18897,7.329468085106384,8.76,5.9,596404.2234042553,2359308.0,16260.0
18919,7.68,7.68,7.68,135652.0,135652.0,135652.0
18953,6.998333333333334,8.56,5.54,186663.0,852836.0,1126.0
18959,6.67,6.67,6.67,10929.0,10929.0,10929.0
19009,6.46,6.84,5.99,32533.666666666668,70526.0,2941.0
19023,7.2695454545454545,8.57,6.05,166665.72727272726,748469.0,16297.0
19029,6.635,6.64,6.63,53798.5,77993.0,29604.0
19051,7.08,7.08,7.08,19447.0,19447.0,19447.0
19067,7.018571428571429,7.78,5.82,159468.7142857143,666459.0,2884.0
19101,6.01,6.01,6.01,6145.0,6145.0,6145.0
19103,6.1066666666666665,6.24,6.02,6625.0,7473.0,6150.0
19111,7.51125,8.38,6.4,449586.625,1372633.0,28318.0
19115,7.406000000000001,8.53,5.37,161575.3,740319.0,1933.0
19117,7.5636363636363635,8.71,6.91,527512.5909090909,4230312.0,21434.0
19121,5.28,5.28,5.28,766.0,766.0,766.0
19133,6.332,7.19,5.05,50414.6,208046.0,1569.0
19135,7.516666666666666,8.53,6.25,267130.6666666667,740319.0,1788.0
19151,6.516666666666667,6.63,6.39,208067.0,236601.0,154438.0
19157,7.235416666666667,8.41,6.29,323838.875,3212739.0,6918.0
19163,7.308333333333334,8.0,6.6,595705.0,1094242.0,252477.0
19171,6.87,6.87,6.87,2735.0,2735.0,2735.0
19191,7.4,7.4,7.4,76444.0,76444.0,76444.0
19211,7.535,8.42,6.65,284237.5,551418.0,17057.0
19213,4.74,4.83,4.65,3194.0,5439.0,949.0
19217,5.81,6.03,5.52,1240.3333333333333,2914.0,276.0
19219,5.396666666666667,6.33,4.74,479.3333333333333,535.0,370.0
19221,7.118571428571429,8.23,6.06,538716.8571428572,2096852.0,78054.0
19233,6.48,6.48,6.48,5588.0,5588.0,5588.0
19255,6.74,6.74,6.74,59055.0,59055.0,59055.0
19257,7.395294117647059,8.23,6.63,391151.4705882353,1201583.0,15362.0
19261,6.785,7.88,5.69,38057.5,70075.0,6040.0
19279,5.115,5.45,4.78,2903.0,3944.0,1862.0
19283,6.67,6.67,6.67,8245.0,8245.0,8245.0
19285,6.37,6.37,6.37,17312.0,17312.0,17312.0
19291,7.903999999999999,9.03,6.73,1228690.4,3080867.0,24234.0
19305,6.69,6.69,6.69,33463.0,33463.0,33463.0
19315,6.524857142857143,8.56,1.89,855408.8,4230312.0,4939.0
19319,7.125151515151515,9.03,5.89,320703.69696969696,3212739.0,3977.0
19351,7.93,7.93,7.93,116079.0,116079.0,116079.0
