mal_id,mean_score_reco,max_score_reco,min_score_reco,mean_members_reco,max_members_reco,min_members_reco,watching_mean,watching_max,watching_min,completed_mean,completed_max,completed_min,on_hold_mean,on_hold_max,on_hold_min,dropped_mean,dropped_max,dropped_min,plan_to_watch_mean,plan_to_watch_max,plan_to_watch_min,total_mean,total_max,total_min
48553,7.729523809523809,8.5,6.59,397382.0,1105066.0,30163.0,30155.714285714286,108086.0,1492.0,220264.7619047619,726104.0,13595.0,13532.047619047618,35194.0,1120.0,15403.52380952381,45378.0,1384.0,118073.47619047618,254855.0,12542.0,397429.5238095238,1105166.0,30165.0
48554,5.89,5.89,5.89,387.0,387.0,387.0,16.0,16.0,16.0,259.0,259.0,259.0,1.0,1.0,1.0,27.0,27.0,27.0,84.0,84.0,84.0,387.0,387.0,387.0
48556,7.285,8.53,5.4,744765.90625,2880058.0,20190.0,51941.375,358442.0,1089.0,522394.0,2234604.0,7887.0,18349.3125,50377.0,819.0,25563.65625,97105.0,1378.0,126569.6875,365843.0,8973.0,744818.03125,2880368.0,20195.0
48561,7.756666666666667,8.36,7.17,1111054.0,1962199.0,129702.0,61379.0,124567.0,6769.0,790935.3333333334,1404554.0,58871.0,30005.333333333332,59528.0,4497.0,26522.666666666668,39002.0,5243.0,202353.33333333334,338485.0,54324.0,1111195.6666666667,1962457.0,129704.0
48567,6.79,8.09,5.65,85777.85714285714,221549.0,6053.0,5223.285714285715,8152.0,920.0,46123.57142857143,135371.0,1225.0,2470.1428571428573,5151.0,162.0,4642.0,10615.0,1005.0,27327.714285714286,66908.0,2741.0,85786.71428571429,221572.0,6053.0
48569,7.958333333333333,8.91,6.91,1174956.0833333333,4230312.0,125084.0,74589.33333333333,293191.0,4090.0,922689.5,3716436.0,59409.0,17177.666666666668,53530.0,2072.0,18165.083333333332,64635.0,1509.0,142445.5,264652.0,35162.0,1175067.0833333333,4230824.0,125084.0
48570,6.56,6.56,6.56,12846.0,12846.0,12846.0,1760.0,1760.0,1760.0,3794.0,3794.0,3794.0,486.0,486.0,486.0,336.0,336.0,336.0,6470.0,6470.0,6470.0,12846.0,12846.0,12846.0
48577,7.59,7.72,7.46,97346.0,151649.0,43043.0,3859.0,6884.0,834.0,47886.5,66761.0,29012.0,1459.0,2640.0,278.0,619.0,1076.0,162.0,43522.0,74288.0,12756.0,97345.5,151649.0,43042.0
48580,7.663846153846153,9.1,5.18,834330.8846153846,3576199.0,51752.0,56206.153846153844,278645.0,1203.0,564374.8076923077,2586001.0,30382.0,24865.403846153848,118574.0,898.0,25518.615384615383,83572.0,978.0,163416.25,529859.0,11591.0,834381.2307692308,3576614.0,51758.0
48582,7.9,7.9,7.9,11606.0,11606.0,11606.0,679.0,679.0,679.0,8672.0,8672.0,8672.0,113.0,113.0,113.0,147.0,147.0,147.0,1996.0,1996.0,1996.0,11607.0,11607.0,11607.0
48583,8.394375,9.1,7.28,1869215.25,4170767.0,350634.0,107986.5625,278645.0,28316.0,1375649.625,3474406.0,79626.0,47009.75,118574.0,12039.0,40997.4375,126242.0,9081.0,297722.5,687110.0,112844.0,1869365.875,4171073.0,350679.0
48585,7.66,8.2,7.12,290581.5,450476.0,130687.0,4612.5,8292.0,933.0,265142.5,408796.0,121489.0,704.5,932.0,477.0,566.5,770.0,363.0,19555.5,31686.0,7425.0,290581.5,450476.0,130687.0
48586,,,,304.0,304.0,304.0,53.0,53.0,53.0,119.0,119.0,119.0,5.0,5.0,5.0,39.0,39.0,39.0,88.0,88.0,88.0,304.0,304.0,304.0
48612,6.824999999999999,7.55,6.1,44194.5,83263.0,5126.0,4600.5,8476.0,725.0,13957.0,26830.0,1084.0,2207.0,4209.0,205.0,4473.5,8105.0,842.0,18958.5,35646.0,2271.0,44196.5,83266.0,5127.0
48614,7.445,8.16,6.73,165467.0,208058.0,122876.0,49831.0,90490.0,9172.0,43583.5,61358.0,25809.0,3125.0,3400.0,2850.0,4190.0,5223.0,3157.0,65424.0,84503.0,46345.0,166153.5,209425.0,122882.0
48617,6.19,6.19,6.19,2929.0,2929.0,2929.0,74.0,74.0,74.0,2090.0,2090.0,2090.0,41.0,41.0,41.0,97.0,97.0,97.0,629.0,629.0,629.0,2931.0,2931.0,2931.0
48624,7.68,7.68,7.68,59073.0,59073.0,59073.0,1298.0,1298.0,1298.0,38545.0,38545.0,38545.0,576.0,576.0,576.0,459.0,459.0,459.0,18195.0,18195.0,18195.0,59073.0,59073.0,59073.0
48626,7.1,7.26,6.94,26618.0,31600.0,21636.0,2638.0,3150.0,2126.0,17619.0,20785.0,14453.0,877.0,1010.0,744.0,769.0,904.0,634.0,4716.0,5753.0,3679.0,26619.0,31602.0,21636.0
48633,7.242999999999999,8.04,6.26,944254.9,2513139.0,97922.0,50169.0,94153.0,14848.0,706885.5,2039802.0,39066.0,17586.2,38267.0,2960.0,32467.4,69952.0,10318.0,137221.8,279220.0,27910.0,944329.9,2513326.0,97938.0
48641,6.333333333333333,7.85,5.18,261213.0,367633.0,108955.0,14671.666666666666,16877.0,12673.0,167257.0,264811.0,36866.0,6030.0,7548.0,4448.0,20841.333333333332,33164.0,4524.0,52437.666666666664,61928.0,46267.0,261237.66666666666,367652.0,108982.0
