mal_id,type,genres,studios,themes,demographics,source,rating,episodes,season,y_score,y_members,main_characters,supporting_characters,recommendation_mal_id,staff
52991,TV,"['Adventure', 'Drama', 'Fantasy']",['Madhouse'],[],['Shounen'],Manga,PG-13 - Teens 13 or older,28.0,fall,9.29,1223219,3,59,"[33352, 41025, 35851, 52701, 2966, 457, 40571, 486, 39535, 4081, 54492, 31646, 55731, 35062, 37349, 35079, 27775, 51122, 4654, 53590, 16009, 22789, 59459, 477, 52081, 918, 38000, 512, 6594, 9969, 34599, 49891, 46095, 45576, 52657, 37520, 35838, 387, 34798, 30, 42826, 30276, 268, 28121, 29803, 30370, 975, 33091, 789, 1827, 1818, 1, 60732, 6, 39575, 3701, 5114, 40716, 534, 53835, 49345, 232, 31859, 48779]","[1613, 5812, 5921, 6548, 6801, 7136, 8979, 12357, 17047, 17991, 17999, 19902, 19914, 23829, 30003, 30689, 32281, 33717, 34425, 35207, 35883, 36519, 37606, 37850, 38369, 38820, 38903, 38936, 38956, 39292, 39346, 39435, 40125, 41236, 41402, 41658, 41926, 42509, 43178, 43494, 43709, 46107, 46210, 46294, 47859, 48367, 48381, 48480, 48769, 48771, 49022, 49046, 49245, 49246, 49292, 49441, 49442, 49523, 49888, 49899, 50140, 50145, 50244, 50900, 51216, 51383, 51479, 51988, 51989, 52473, 52821, 53040, 53709, 53823, 53862, 53955, 54101, 54259, 54777, 54816, 55252, 55473, 55591, 55634, 55635, 55637, 55639, 55641, 55642, 55659, 55860, 56581, 56584, 57035, 58047, 61332, 61338, 62049, 62186, 62256, 62539, 62574, 62724, 62897, 63147, 63197, 63415, 63602, 63603, 63605, 63615, 63670, 63877, 64287, 64869, 65003, 65387, 65389, 65390, 65407, 65409, 65646, 66448, 66726, 66735, 66782, 67044, 67193, 67195, 67528, 67615, 67854, 67918, 68311, 68438, 68439, 68440, 68441, 68442, 68443, 68444, 68976, 69133, 69326, 69393, 69529, 69530, 69531, 69532, 69700, 70131, 70182, 70183, 70184, 70185, 70186, 70187, 70188, 70388, 70454, 70691, 70719, 70909, 70910, 71161, 71334, 71335, 71336, 71601, 71615, 71915, 71916, 71929, 71930, 71932, 71933, 71934, 72180, 72181, 72279, 72427, 72522, 72526, 72527, 72583, 72619, 72781, 72873, 72991, 73088, 73176, 73183, 73257, 73286, 73294, 73362, 73396, 73904, 73996, 74046, 74914, 75384, 75760, 75901, 76071, 76100, 76166, 76185, 76243, 76715, 76843, 76975, 77436, 77438, 78165, 78166, 78294, 78376, 78565, 78861, 78863, 79226, 79929, 80056, 80057, 80690, 80925, 80928, 81526, 82087, 82156, 82199, 82316, 82340, 82832, 82833, 82834, 82835, 82837, 82936, 83115, 83313, 83776, 84021, 84023, 84024, 84045, 84046, 84050, 84059, 84062, 84063, 84077, 84245, 84288, 84345, 84358, 84499, 84502, 84504, 84651, 84653, 84720, 84745, 84947, 84974, 85060, 86038, 86110, 86277, 86422, 87487, 87571, 88565, 88670, 88909, 88978, 88993, 89002, 89026, 89519, 89633, 89691, 89692, 89934, 89951]"
36655,TV,['Action'],['Polygon Pictures'],"['Historical', 'Martial Arts']",['Seinen'],Manga,R - 17+ (violence & profanity),12.0,spring,5.66,11948,4,11,"[40269, 36903, 34443]","[2847, 2848, 8185, 11475, 14441, 27771, 47396, 47397, 47398, 47399, 48381, 48382, 48383, 48384, 48385, 49049, 61317, 62756]"
40312,Music,"['Avant Garde', 'Comedy']",[],['Music'],[],Original,PG-13 - Teens 13 or older,1.0,summer,5.36,1155,0,0,[36157],"[9690, 15747, 42897, 53366, 78417]"
20057,TV,"['Comedy', 'Sci-Fi']",['Bones'],"['Adult Cast', 'Space']",[],Original,PG-13 - Teens 13 or older,13.0,winter,7.89,382303,3,35,"[1, 6675, 24439, 227, 400, 8795, 38707, 2001, 2451, 918, 3701, 6, 35330, 10165, 9834, 306, 25, 13249, 1425, 379, 27947, 569, 30831, 30016, 10357, 7785, 36267, 31933, 28223, 974, 205, 43299, 8115, 41456, 42192, 49357, 820, 1470, 7647, 30276, 13535, 5005, 228, 411, 23289, 2452, 50710, 3974, 32681, 1050, 31174, 14765, 457, 37435, 32182, 2026, 516, 48453, 13203, 1226, 2966]","[203, 508, 891, 2009, 2334, 2349, 3066, 3067, 5245, 5316, 6369, 6417, 6519, 6801, 6856, 7152, 7156, 8303, 8307, 8970, 8979, 9317, 9319, 9326, 9361, 10127, 10519, 10543, 10913, 11268, 11445, 12357, 15223, 15627, 15717, 17905, 19407, 19900, 20088, 21215, 25727, 28159, 28429, 28579, 29025, 29027, 30689, 30773, 31169, 31603, 34079, 34803, 35017, 35107, 35745, 35883, 37413, 37493, 37597, 37702, 38760, 38823, 39211, 39321, 39322, 39325, 39346, 39347, 39433, 39646, 40119, 40122, 40124, 40409, 40438, 40810, 40811, 40830, 41173, 41294, 41620, 41885, 41926, 43182, 43257, 44815, 45709, 45723, 45779, 46629, 46726, 47350, 47532, 48068, 48076, 48077, 48097, 48263, 49234, 49281, 50140, 50145, 50244, 50407, 50658, 50673, 52208, 53862, 55476, 55644, 55651, 55670, 55671, 56566, 57035, 59485, 60015, 60020, 60735, 60738, 60739, 61240, 61613, 61695, 61696, 61722, 62226, 62408, 63147, 63415, 64318, 64583, 65373, 65735, 66229, 66269, 67786, 67789, 67792, 67851, 68690, 68699, 70887, 70971, 71156, 71158, 71263, 71412, 72577, 72651, 72962, 73778, 73898, 74022, 74137, 74591, 75433, 76916, 76923, 76981, 77677, 78404, 79235, 79238, 79296, 79713, 80660, 80810, 80840, 80849, 81664, 81671, 81701, 81934, 82372, 82480, 82791, 84166, 84491, 84974, 85169, 86338, 88256, 88601, 88906, 89343, 89697]"
23327,TV,"['Comedy', 'Sci-Fi']",['Bones'],"['Adult Cast', 'Space']",[],Original,PG-13 - Teens 13 or older,13.0,summer,8.26,179218,3,56,"[1, 3701, 32, 28149, 918, 24439, 1226, 5074, 400, 8795, 20973]","[89, 95, 159, 203, 283, 366, 441, 857, 891, 1872, 2009, 2334, 2580, 3066, 5068, 5245, 5316, 5956, 6089, 6417, 6619, 6723, 6801, 6856, 7152, 7922, 8172, 8480, 8737, 8893, 8970, 8979, 9361, 9440, 9713, 10127, 10519, 10543, 10635, 10913, 11445, 12262, 12357, 15223, 15717, 23577, 24119, 25727, 25999, 26349, 27769, 28225, 28429, 28579, 29025, 29525, 31089, 31169, 34079, 34803, 35017, 35107, 35461, 35745, 37413, 38060, 38823, 39141, 39321, 39322, 39346, 39347, 39440, 39904, 40122, 40811, 40830, 41130, 41926, 42494, 43257, 45178, 45723, 46495, 46726, 47350, 47537, 47806, 47859, 48097, 48339, 48452, 49228, 49281, 49367, 49448, 50140, 50407, 51121, 51148, 55322, 55476, 55644, 55651, 57035, 59485, 60015, 60020, 60735, 60738, 61240, 61695, 61722, 62136, 62140, 62391, 62629, 62894, 63147, 65373, 67531, 68165, 69108, 70055, 70388, 70719, 70887, 70971, 71156, 71263, 71412, 72651, 72730, 73359, 73361, 73898, 74586, 74591, 74593, 75346, 75384, 75748, 76714, 78402, 78404, 78493, 78794, 79238, 79296, 79713, 79934, 80372, 80840, 80864, 81664, 81671, 82372, 82480, 82791, 84974, 85169, 85410]"
43352,Music,[],[],['Music'],[],Original,G - All Ages,1.0,spring,6.13,336,0,0,[38796],[52314]
17849,TV,['Comedy'],['Hotline'],"['Adult Cast', 'Workplace']",[],4-koma manga,PG-13 - Teens 13 or older,12.0,spring,5.42,11044,4,2,"[21067, 17397, 16169, 11491, 15005]","[53, 10842, 20679, 21389, 21391, 28805, 37037, 48442]"
10406,OVA,['Comedy'],['Studio PuYUKAI'],[],[],4-koma manga,G - All Ages,1.0,winter,5.09,3114,1,4,[357],"[116, 11987, 11988, 47320]"
39489,ONA,"['Action', 'Adventure', 'Sci-Fi']",['David Production'],['Military'],['Shounen'],Manga,R - 17+ (violence & profanity),6.0,spring,6.84,54686,1,29,"[14075, 37806, 71, 12413, 270, 889, 50953]","[3033, 3146, 4012, 6619, 11595, 11845, 16457, 26639, 30003, 30337, 31867, 34471, 35681, 35743, 39270, 39418, 39707, 40433, 43175, 48559, 49021, 51483, 51973, 53938, 54210, 59071, 60768, 61328, 62607, 63634, 63901, 64291, 64417, 65389, 65390, 65407, 65408, 65437, 67130, 69737, 70497, 70976, 71214, 71405, 72419, 73487, 73918, 74941, 75322, 75372, 76097, 76241, 78313, 79578, 80840, 83719, 83978]"
51252,TV,"['Action', 'Mystery']",['feel.'],[],[],Light novel,PG-13 - Teens 13 or older,12.0,winter,6.41,162293,9,9,"[24833, 35240, 46471, 40550, 48316, 35868, 37349, 23587]","[2415, 5326, 6726, 7608, 9299, 10429, 10834, 11184, 11297, 11352, 11622, 12387, 14703, 15607, 17681, 21505, 24413, 33179, 35001, 37268, 37416, 39241, 39678, 40950, 41009, 41149, 41403, 41581, 42132, 42312, 42822, 43775, 45782, 48854, 50627, 51366, 51367, 51612, 52226, 53926, 56016, 58807, 60753, 61709, 61923, 62425, 62729, 62739, 62740, 63466, 63484, 63485, 63486, 63559, 63601, 63640, 63885, 63908, 64164, 64253, 64328, 64329, 64834, 64844, 64864, 64873, 64874, 64875, 64876, 64877, 64878, 64879, 65469, 66414, 66915, 67196, 70237, 70501, 70973, 71775, 72282, 73388, 73493, 73893, 73997, 74070, 74652, 75249, 75894, 75931, 76246, 76303, 76565, 77079, 80098, 80099, 80111, 80112, 80113, 80206, 80247, 80248, 80249, 80250, 80253, 80254, 80255, 80256, 80397, 80733, 81296, 81418, 82163, 82347, 82524, 82526, 82527, 82528, 82529, 82936, 83926, 85152, 85552, 85553, 85554, 86065]"
54947,TV,"['Action', 'Mystery']",['feel.'],[],[],Light novel,PG-13 - Teens 13 or older,12.0,summer,7.15,50110,9,16,[37807],"[6686, 6726, 7561, 9299, 10429, 10834, 11352, 12387, 12585, 14345, 14441, 14703, 17681, 21505, 21517, 35001, 36856, 37037, 37416, 39141, 39678, 40950, 41009, 41403, 41581, 42822, 43775, 45782, 46249, 48854, 48871, 51366, 51367, 51612, 52226, 53926, 56016, 58807, 59485, 61709, 62739, 62740, 63484, 63485, 63486, 63559, 63601, 63908, 64164, 64253, 64834, 64844, 64873, 64875, 66414, 67706, 67707, 70973, 71775, 71776, 71943, 73076, 73388, 74652, 74910, 75749, 75792, 76565, 80099, 80111, 80112, 80206, 80248, 80250, 80254, 80256, 80905, 85357, 85552, 86065]"
50265,TV,"['Action', 'Award Winning', 'Comedy']","['Wit Studio', 'CloverWorks']","['Childcare', 'Super Power']",['Shounen'],Manga,PG-13 - Teens 13 or older,12.0,spring,8.44,1794468,3,81,"[53411, 36296, 37999, 49776, 71, 35240, 58939, 40052, 33206, 41120, 10162, 57611, 33255, 14813, 35222, 51464, 40716, 49909, 39324, 43692, 32828, 272, 22789, 1, 74, 40839, 28825, 1604, 15379, 918, 11061, 48413, 41103, 516, 33352, 40908, 58985, 1486, 50709, 46095, 102, 37221, 235, 44516, 41389, 52494, 19, 50586, 55887, 3448, 35889, 27947, 431, 52969, 40397, 10087, 42307, 31646, 37991, 15809, 2251, 208, 13601, 28223, 53865, 31405]","[203, 3543, 5655, 6885, 6889, 7676, 8507, 8539, 9029, 10410, 10936, 11385, 11630, 13265, 13707, 14497, 15949, 17135, 18599, 20206, 25507, 26387, 30689, 33311, 35675, 37850, 38370, 38652, 38938, 38956, 38996, 39164, 39315, 39698, 40365, 40552, 41215, 41237, 41431, 41466, 42050, 46294, 47365, 48367, 48406, 48427, 49230, 49234, 49244, 49249, 49303, 49448, 50157, 50244, 51267, 51382, 51394, 51711, 53773, 53862, 53920, 54259, 54623, 55018, 55634, 55636, 55637, 55656, 55668, 55758, 57083, 57374, 57375, 57376, 57501, 60016, 61322, 61886, 62140, 62186, 62191, 62226, 62391, 62978, 63283, 63496, 63602, 63605, 63917, 64906, 64927, 65308, 66520, 66726, 66727, 66772, 66817, 67245, 67528, 67852, 68154, 68629, 69327, 69468, 69470, 69471, 69472, 69531, 69722, 70186, 70187, 70485, 70488, 70997, 71678, 71752, 71919, 72122, 72277, 72526, 72599, 72748, 72920, 72962, 72996, 73065, 73113, 73157, 73196, 73294, 73632, 73713, 73881, 73996, 74024, 74215, 74265, 74270, 74564, 75507, 75997, 76013, 76066, 76246, 76286, 76515, 76520, 76581, 76586, 76591, 76628, 76662, 76827, 77036, 77355, 78165, 78335, 78376, 78861, 78863, 78902, 78910, 78914, 79089, 79234, 79401, 79715, 79835, 79930, 80052, 81020, 81602, 81783, 81966, 82035, 82046, 82087, 82119, 82287, 82396, 82456, 82554, 82605, 82638, 82834, 82874, 82927, 83776, 83926, 83927, 83931, 83952, 84027, 84045, 84046, 84049, 84062, 84066, 84073, 84277, 84419, 84420, 84426, 84465, 84502, 84745, 84812, 85060, 85061, 85087, 85421, 86110, 86364, 86366, 86478, 88565, 89141, 89727, 89948]"
